run_id,experiment,model,digest,variant,subset,workers,n,valid,valid_first,runaway,out_tok_mean,reviews_per_min,ollama,date,other_models_loaded,gpu_before,gpu_after
e1_4b,E1,qwen3:4b,359d7dd4bcda,base,s200,4,200,200,200,0,315.5100,22.3289,0.34.2,2026-09-23,,"57, 210 MHz, 4649 MiB","87, 1110 MHz, 4772 MiB"
e1_8b,E1,qwen3:8b,500a1f067a9f,base,s200,4,200,199,199,1,347.2750,13.6650,0.34.3,2026-09-24,,"84, 420 MHz, 335 MiB","89, 945 MHz, 6496 MiB"
e2_long_4b,E2,qwen3:4b,359d7dd4bcda,long_keys,s200,4,200,200,200,0,330.9150,19.7848,0.34.2,2026-09-23,,"71, 210 MHz, 4648 MiB","85, 1560 MHz, 4580 MiB"
e3_free_text_optional_4b,E3,qwen3:4b,359d7dd4bcda,free_text_optional,n100,4,100,100,100,0,316.2900,21.5837,0.34.2,2026-09-23,,"85, 345 MHz, 4591 MiB","83, 360 MHz, 4581 MiB"
e3_free_text_required_4b,E3,qwen3:4b,359d7dd4bcda,free_text_required,n100,4,100,100,100,0,333.5800,20.0594,0.34.2,2026-09-23,,"80, 210 MHz, 4581 MiB","88, 1650 MHz, 4580 MiB"
e3_free_text_optional_8b,E3,qwen3:8b,500a1f067a9f,free_text_optional,n100,4,100,100,99,1,352.0000,14.3896,0.34.3,2026-09-24,,"85, 375 MHz, 6512 MiB","89, 930 MHz, 6495 MiB"
e3_free_text_required_8b,E3,qwen3:8b,500a1f067a9f,free_text_required,n100,4,100,100,100,0,363.4000,14.4855,0.34.3,2026-09-24,,"60, 1560 MHz, 885 MiB","89, 1050 MHz, 6923 MiB"
e5_numeric_4b,E5,qwen3:4b,359d7dd4bcda,numeric_limit,s200,4,200,200,200,0,307.9450,19.6589,0.34.2,2026-09-23,,"82, 285 MHz, 4580 MiB","88, 1110 MHz, 4602 MiB"
e6_think_false_4b,E6,qwen3:4b,359d7dd4bcda,base,n24,1,24,24,24,0,330.5000,14.3279,0.34.3,2026-09-24,,"53, 375 MHz, 348 MiB","85, 1860 MHz, 4291 MiB"
e6_think_omitted_4b,E6,qwen3:4b,359d7dd4bcda,base,n24,1,24,0,0,0,329.0833,6.7637,0.34.3,2026-09-24,,"83, 1905 MHz, 4289 MiB","87, 1770 MHz, 4280 MiB"
e6_think_true_4b,E6,qwen3:4b,359d7dd4bcda,base,n24,1,24,0,0,0,329.0833,6.5666,0.34.3,2026-09-24,,"84, 1770 MHz, 4280 MiB","87, 1740 MHz, 4294 MiB"
