model_a,model_b,item,n,kappa,raw_agreement,rate_a,rate_b
qwen2.5:7b-instruct,gemma3:4b,sentiment (4 classes),350,0.7808,0.8686,,
qwen2.5:7b-instruct,gemma3:4b,would_return (true/false/null),350,0.6870,0.8143,,
qwen2.5:7b-instruct,gemma3:4b,complaint present,350,0.9352,0.9743,0.7343,0.7200
qwen2.5:7b-instruct,gemma3:4b,aspect present: staff,350,0.2208,0.7571,0.7086,0.9514
qwen2.5:7b-instruct,gemma3:4b,aspect present: cleanliness,350,0.6809,0.8486,0.2971,0.4371
qwen2.5:7b-instruct,gemma3:4b,aspect present: room,350,0.6837,0.8429,0.3600,0.4886
qwen2.5:7b-instruct,gemma3:4b,aspect present: food,350,0.6550,0.8286,0.5086,0.6800
qwen2.5:7b-instruct,gemma3:4b,aspect present: pool_beach,350,0.5257,0.7971,0.1914,0.3829
qwen2.5:7b-instruct,gemma3:4b,aspect present: location,350,0.2945,0.8000,0.0743,0.2457
qwen2.5:7b-instruct,gemma3:4b,aspect present: value,350,0.5080,0.7771,0.2714,0.3971
qwen2.5:7b-instruct,gemma3:4b,aspect present: check_in,350,0.3980,0.7543,0.1429,0.3714
qwen2.5:7b-instruct,gemma3:4b,aspect present: noise,350,0.1622,0.7886,0.0486,0.2257
qwen2.5:7b-instruct,gemma3:4b,aspect present: safety,350,0.2939,0.7943,0.0943,0.2429
qwen2.5:7b-instruct,gemma3:4b,aspect present: entertainment,350,0.5972,0.8286,0.2343,0.3600
qwen2.5:7b-instruct,gemma3:4b,aspect present: other,350,0.1432,0.7086,0.2943,0.1114
qwen2.5:7b-instruct,gemma3:4b,aspect with opinion: staff,350,0.5665,0.8200,0.6400,0.8029
qwen2.5:7b-instruct,gemma3:4b,aspect with opinion: cleanliness,350,0.8461,0.9371,0.2743,0.2971
qwen2.5:7b-instruct,gemma3:4b,aspect with opinion: room,350,0.7319,0.8771,0.3257,0.3800
qwen2.5:7b-instruct,gemma3:4b,aspect with opinion: food,350,0.7625,0.8800,0.4686,0.5829
qwen2.5:7b-instruct,gemma3:4b,aspect with opinion: pool_beach,350,0.7317,0.9057,0.1829,0.2657
qwen2.5:7b-instruct,gemma3:4b,aspect with opinion: location,350,0.5489,0.9571,0.0486,0.0514
qwen2.5:7b-instruct,gemma3:4b,aspect with opinion: value,350,0.6083,0.8514,0.2514,0.2571
qwen2.5:7b-instruct,gemma3:4b,aspect with opinion: check_in,350,0.6227,0.8914,0.1286,0.2143
qwen2.5:7b-instruct,gemma3:4b,aspect with opinion: noise,350,0.6805,0.9771,0.0343,0.0400
qwen2.5:7b-instruct,gemma3:4b,aspect with opinion: safety,350,0.8340,0.9771,0.0829,0.0657
qwen2.5:7b-instruct,gemma3:4b,aspect with opinion: entertainment,350,0.8287,0.9429,0.2200,0.2029
qwen2.5:7b-instruct,gemma3:4b,aspect with opinion: other,350,0.1705,0.7286,0.2886,0.0914
qwen2.5:7b-instruct,gemma3:4b,"aspect sentiment, when both mention it",988,0.7260,0.8350,,
