model,aspect,mentioned_rate,positive,neutral,negative,mixed
qwen2.5:7b-instruct,staff,0.7086,142,24,81,1
qwen2.5:7b-instruct,cleanliness,0.2971,39,8,57,0
qwen2.5:7b-instruct,room,0.3600,48,12,66,0
qwen2.5:7b-instruct,food,0.5086,69,14,89,6
qwen2.5:7b-instruct,pool_beach,0.1914,40,3,24,0
qwen2.5:7b-instruct,location,0.0743,14,9,3,0
qwen2.5:7b-instruct,value,0.2714,13,7,75,0
qwen2.5:7b-instruct,check_in,0.1429,3,5,42,0
qwen2.5:7b-instruct,noise,0.0486,2,5,10,0
qwen2.5:7b-instruct,safety,0.0943,4,4,25,0
qwen2.5:7b-instruct,entertainment,0.2343,54,5,23,0
qwen2.5:7b-instruct,other,0.2943,33,2,56,12
gemma3:4b,staff,0.9514,142,52,110,29
gemma3:4b,cleanliness,0.4371,38,49,64,2
gemma3:4b,room,0.4886,49,38,76,8
gemma3:4b,food,0.6800,86,34,95,23
gemma3:4b,pool_beach,0.3829,54,41,31,8
gemma3:4b,location,0.2457,7,68,10,1
gemma3:4b,value,0.3971,6,49,77,7
gemma3:4b,check_in,0.3714,13,55,62,0
gemma3:4b,noise,0.2257,0,65,13,1
gemma3:4b,safety,0.2429,4,62,19,0
gemma3:4b,entertainment,0.3600,47,55,22,2
gemma3:4b,other,0.1114,10,7,17,5
